timestamp,pump_id,flow_rate_m3h,pressure_inlet_bar,pressure_outlet_bar,temperature_c,vibration_x_mms,vibration_y_mms,vibration_z_mms,current_a,voltage_v,power_consumption_kw,rpm,status
2024-10-15 01:00:00,PUMP_005,58.85,2.34,4.28,74.2,0.76,0.82,0.75,12.9,389.4,6.74,1432.0,Running
2024-10-15 01:30:00,PUMP_001,89.71,2.46,8.82,73.0,0.83,0.85,0.81,21.5,380.9,11.7,1470.0,Running
2024-10-15 01:30:00,PUMP_002,141.84,2.17,6.4,75.3,0.86,0.86,0.84,31.4,381.6,17.35,1470.0,Running
2024-10-15 01:30:00,PUMP_003,70.25,2.05,12.2,71.7,0.75,0.81,0.83,16.1,387.1,8.68,1437.0,Running
2024-10-15 01:30:00,PUMP_004,119.52,2.32,7.76,75.0,0.81,0.73,0.78,25.8,389.7,14.05,1445.0,Running
2024-10-15 01:30:00,PUMP_005,59.09,2.4,4.5,74.5,0.8,0.75,0.84,11.7,386.5,6.47,1434.0,Running
2024-10-15 02:00:00,PUMP_001,106.63,2.46,8.39,72.8,0.87,0.79,0.87,25.7,382.9,13.34,1444.0,Running
2024-10-15 02:00:00,PUMP_002,150.2,2.08,6.54,77.4,0.83,0.81,0.74,36.0,381.4,18.92,1451.0,Running
2024-10-15 02:00:00,PUMP_003,82.69,2.35,12.24,74.5,0.77,0.85,0.85,19.3,385.1,9.69,1450.0,Running
2024-10-15 02:00:00,PUMP_004,129.41,2.35,7.72,77.2,0.77,0.78,0.74,28.6,384.7,15.85,1452.0,Running
2024-10-15 02:00:00,PUMP_005,64.33,2.02,4.29,76.9,0.78,0.74,0.8,13.8,386.2,7.42,1429.0,Running
2024-10-15 02:30:00,PUMP_001,102.32,2.27,8.62,76.4,0.88,0.8,0.77,24.2,384.4,13.13,1429.0,Running
2024-10-15 02:30:00,PUMP_002,160.08,2.42,6.63,74.8,0.75,0.75,0.76,35.3,386.6,18.79,1439.0,Fault
2024-10-15 02:30:00,PUMP_003,81.19,2.31,11.9,74.0,0.78,0.84,0.72,16.3,380.4,8.99,1468.0,Running
2024-10-15 02:30:00,PUMP_004,127.17,2.05,7.49,75.1,0.75,0.79,0.78,29.9,380.5,15.91,1444.0,Running
2024-10-15 02:30:00,PUMP_005,63.77,2.43,4.57,73.6,0.73,0.82,0.72,15.0,385.8,7.29,1444.0,Running
2024-10-15 03:00:00,PUMP_001,109.0,2.27,8.88,75.6,0.87,0.86,0.75,23.8,380.2,13.09,1430.0,Running
2024-10-15 03:00:00,PUMP_002,157.14,2.16,6.72,73.8,0.85,0.77,0.74,38.1,388.8,20.46,1462.0,Running
2024-10-15 03:00:00,PUMP_003,84.76,2.09,12.3,77.7,0.88,0.79,0.78,19.2,389.3,10.31,1468.0,Running
2024-10-15 03:00:00,PUMP_004,140.25,2.38,7.2,78.2,0.8,0.85,0.77,32.4,380.1,17.54,1470.0,Running
2024-10-15 03:00:00,PUMP_005,67.17,2.48,4.7,76.5,0.82,0.79,0.77,15.1,387.5,7.62,1465.0,Running
2024-10-15 03:30:00,PUMP_001,104.98,2.25,8.12,76.4,0.79,0.86,0.78,24.0,387.6,13.16,1456.0,Running
2024-10-15 03:30:00,PUMP_002,157.36,2.35,6.22,77.8,0.83,0.73,0.73,38.6,383.7,21.04,1466.0,Running
2024-10-15 03:30:00,PUMP_003,90.86,2.38,11.85,74.1,0.84,0.81,0.79,19.0,384.9,10.44,1426.0,Running
2024-10-15 03:30:00,PUMP_004,130.75,2.06,7.21,76.9,0.84,0.81,0.87,30.6,388.7,16.66,1436.0,Maintenance
2024-10-15 03:30:00,PUMP_005,71.62,2.02,4.68,76.3,0.88,0.73,0.81,15.7,386.3,8.12,1460.0,Running
2024-10-15 04:00:00,PUMP_001,116.65,2.29,8.84,74.6,0.76,0.87,0.86,27.0,382.8,14.33,1434.0,Running
2024-10-15 04:00:00,PUMP_002,170.23,2.29,6.23,79.3,0.88,0.83,0.81,38.9,386.8,20.71,1433.0,Running
2024-10-15 04:00:00,PUMP_003,94.12,2.47,12.27,77.5,0.79,0.87,0.86,18.2,383.8,10.08,1466.0,Fault
2024-10-15 04:00:00,PUMP_004,145.33,2.19,7.85,78.6,0.85,0.79,0.79,31.4,388.6,17.35,1466.0,Fault
2024-10-15 04:00:00,PUMP_005,72.38,2.38,4.7,78.6,0.76,0.79,0.74,16.6,382.3,8.53,1459.0,Running
2024-10-15 04:30:00,PUMP_001,113.54,2.06,8.65,77.0,0.84,0.8,0.86,27.2,388.8,14.47,1445.0,Running
2024-10-15 04:30:00,PUMP_002,164.62,2.38,6.58,77.9,0.75,0.74,0.72,38.6,383.9,20.8,1447.0,Running
2024-10-15 04:30:00,PUMP_003,89.8,2.26,12.34,76.4,0.82,0.86,0.87,20.2,384.9,10.19,1438.0,Running
2024-10-15 04:30:00,PUMP_004,150.88,2.25,7.37,77.6,0.76,0.73,0.74,31.1,381.4,17.1,1457.0,Running
2024-10-15 04:30:00,PUMP_005,70.87,2.45,4.49,77.7,0.75,0.75,0.73,14.8,381.8,7.89,1429.0,Running
2024-10-15 05:00:00,PUMP_001,118.31,2.1,8.38,77.4,0.83,0.73,0.85,27.2,388.7,15.04,1471.0,Running
2024-10-15 05:00:00,PUMP_002,174.18,2.4,6.66,75.8,0.75,0.78,0.8,40.4,384.6,22.03,1462.0,Running
2024-10-15 05:00:00,PUMP_003,91.7,2.36,12.47,77.4,0.81,0.74,0.79,20.1,382.7,10.92,1444.0,Running
2024-10-15 05:00:00,PUMP_004,145.83,2.11,7.37,75.4,0.86,0.81,0.83,34.9,380.9,18.84,1452.0,Running
2024-10-15 05:00:00,PUMP_005,76.06,2.22,4.33,76.3,0.78,0.82,0.81,16.9,386.1,8.29,1437.0,Running
2024-10-15 05:30:00,PUMP_001,114.65,2.12,8.21,75.8,0.77,0.75,0.86,26.7,384.1,14.22,1474.0,Running
2024-10-15 05:30:00,PUMP_002,176.34,2.48,6.74,78.9,0.76,0.75,0.83,42.0,385.7,22.71,1439.0,Running
2024-10-15 05:30:00,PUMP_003,91.09,2.16,11.91,77.4,0.76,0.74,0.82,20.3,381.5,10.66,1449.0,Running
2024-10-15 05:30:00,PUMP_004,141.81,2.17,7.23,75.2,0.88,0.77,0.85,33.5,387.6,17.86,1455.0,Running
2024-10-15 05:30:00,PUMP_005,73.58,2.17,4.69,79.0,0.87,0.74,0.84,16.2,380.7,8.78,1462.0,Running
2024-10-15 06:00:00,PUMP_001,124.1,2.07,8.75,76.0,0.75,0.75,0.85,28.5,383.6,15.25,1469.0,Running
2024-10-15 06:00:00,PUMP_002,185.7,2.22,6.42,77.3,0.77,0.84,0.8,40.3,383.8,21.41,1452.0,Running
2024-10-15 06:00:00,PUMP_003,96.18,2.06,12.53,78.1,0.77,0.74,0.85,21.1,388.9,11.13,1464.0,Running
2024-10-15 06:00:00,PUMP_004,147.18,2.12,7.68,75.2,0.81,0.84,0.86,34.4,381.1,18.21,1467.0,Running
2024-10-15 06:00:00,PUMP_005,74.23,2.4,4.34,76.1,0.84,0.84,0.82,16.7,382.5,8.66,1442.0,Running
2024-10-15 06:30:00,PUMP_001,124.9,2.29,8.42,77.3,0.87,0.74,0.81,28.2,380.2,15.01,1469.0,Running
2024-10-15 06:30:00,PUMP_002,181.17,2.35,6.77,78.5,0.74,0.81,0.82,40.8,389.3,21.83,1471.0,Running
2024-10-15 06:30:00,PUMP_003,91.33,2.49,12.41,75.6,0.87,0.86,0.8,20.8,380.5,11.1,1442.0,Running
2024-10-15 06:30:00,PUMP_004,142.57,2.17,7.42,77.7,0.87,0.78,0.78,35.0,382.2,18.94,1448.0,Running
2024-10-15 06:30:00,PUMP_005,72.57,2.25,4.46,79.6,0.78,0.81,0.82,15.9,381.8,8.09,1473.0,Running
2024-10-15 07:00:00,PUMP_001,117.76,2.04,8.92,77.4,0.82,0.73,0.84,27.7,382.1,14.42,1435.0,Running
2024-10-15 07:00:00,PUMP_002,177.66,2.28,6.22,78.7,0.79,0.8,0.79,39.9,381.6,21.56,1434.0,Running
2024-10-15 07:00:00,PUMP_003,98.22,2.19,11.72,78.1,0.79,0.72,0.74,21.3,380.3,11.12,1436.0,Running
2024-10-15 07:00:00,PUMP_004,151.02,2.01,7.2,78.8,0.75,0.82,0.76,32.1,387.2,17.58,1468.0,Running
2024-10-15 07:00:00,PUMP_005,73.47,2.33,4.37,76.3,0.86,0.72,0.73,14.8,381.8,8.17,1454.0,Running
2024-10-15 07:30:00,PUMP_001,123.44,2.41,8.37,76.1,0.78,0.81,0.76,27.9,385.5,15.03,1447.0,Running
2024-10-15 07:30:00,PUMP_002,186.15,2.38,6.27,79.2,0.8,0.86,0.85,38.9,382.7,21.61,1452.0,Running
2024-10-15 07:30:00,PUMP_003,91.75,2.07,12.4,79.8,0.8,0.75,0.76,20.5,381.2,10.36,1454.0,Running
2024-10-15 07:30:00,PUMP_004,149.27,2.33,7.75,75.9,0.72,0.74,0.86,35.4,386.0,19.0,1458.0,Running
2024-10-15 07:30:00,PUMP_005,77.31,2.21,4.45,77.4,0.73,0.75,0.84,15.7,382.5,8.06,1444.0,Running
2024-10-15 08:00:00,PUMP_001,113.51,2.36,8.33,77.2,0.8,0.83,0.87,26.9,380.3,14.73,1438.0,Running
2024-10-15 08:00:00,PUMP_002,165.02,2.25,6.56,76.1,0.84,0.74,0.73,39.9,386.9,21.6,1447.0,Running
2024-10-15 08:00:00,PUMP_003,94.09,2.4,12.23,75.8,0.81,0.78,0.73,20.1,389.5,11.0,1447.0,Running
2024-10-15 08:00:00,PUMP_004,144.57,2.44,7.67,78.4,0.83,0.83,0.86,32.1,382.2,17.31,1474.0,Running
2024-10-15 08:00:00,PUMP_005,68.67,2.35,4.69,75.3,0.81,0.87,0.73,15.6,389.2,8.32,1474.0,Running
2024-10-15 08:30:00,PUMP_001,114.88,2.43,8.79,76.0,0.85,0.73,0.82,25.5,380.8,14.01,1460.0,Running
2024-10-15 08:30:00,PUMP_002,176.65,2.03,6.38,77.1,0.85,0.77,0.82,40.7,382.3,21.93,1426.0,Running
2024-10-15 08:30:00,PUMP_003,86.82,2.44,12.03,79.1,0.85,0.88,0.78,20.3,384.8,10.84,1456.0,Running
2024-10-15 08:30:00,PUMP_004,150.94,2.38,7.44,76.5,0.84,0.76,0.74,32.1,383.0,17.5,1437.0,Running
2024-10-15 08:30:00,PUMP_005,68.51,2.49,4.47,76.3,0.83,0.75,0.87,15.3,384.2,8.39,1469.0,Running
2024-10-15 09:00:00,PUMP_001,109.1,2.31,8.22,78.6,0.76,0.87,0.82,25.9,382.3,13.83,1434.0,Running
2024-10-15 09:00:00,PUMP_002,159.04,2.39,6.4,74.0,0.88,0.86,0.87,38.3,384.0,21.06,1463.0,Running
2024-10-15 09:00:00,PUMP_003,83.65,2.41,11.67,74.8,0.81,0.81,0.81,19.1,382.7,9.62,1431.0,Running
2024-10-15 09:00:00,PUMP_004,143.05,2.43,7.73,77.0,0.81,0.73,0.79,30.5,387.2,16.66,1450.0,Running
2024-10-15 09:00:00,PUMP_005,66.5,2.34,4.31,77.9,0.8,0.8,0.81,15.1,386.8,8.0,1453.0,Running
2024-10-15 09:30:00,PUMP_001,113.6,2.4,8.63,77.9,0.86,0.83,0.85,26.5,386.2,13.95,1463.0,Running
2024-10-15 09:30:00,PUMP_002,170.44,2.44,6.19,77.8,0.74,0.77,0.84,36.5,388.3,19.39,1450.0,Running
2024-10-15 09:30:00,PUMP_003,84.81,2.31,12.58,76.8,0.76,0.82,0.81,18.8,387.6,10.31,1452.0,Fault
2024-10-15 09:30:00,PUMP_004,138.63,2.47,7.2,78.4,0.83,0.73,0.77,31.1,385.8,17.23,1442.0,Running
2024-10-15 09:30:00,PUMP_005,65.3,2.44,4.71,78.5,0.84,0.74,0.84,13.3,383.2,7.38,1449.0,Running
2024-10-15 10:00:00,PUMP_001,103.87,2.22,8.31,77.7,0.79,0.79,0.75,25.0,382.2,13.13,1429.0,Running
2024-10-15 10:00:00,PUMP_002,155.36,2.14,6.79,73.5,0.79,0.87,0.79,34.9,382.7,18.96,1474.0,Running
2024-10-15 10:00:00,PUMP_003,83.93,2.11,11.66,72.9,0.82,0.78,0.86,18.7,381.9,9.32,1468.0,Running
2024-10-15 10:00:00,PUMP_004,130.95,2.42,7.7,75.9,0.74,0.73,0.87,30.2,384.8,15.91,1431.0,Running
2024-10-15 10:00:00,PUMP_005,64.93,2.22,4.37,75.2,0.73,0.81,0.76,14.0,384.6,7.44,1426.0,Running
2024-10-15 10:30:00,PUMP_001,100.9,2.24,8.59,74.2,0.83,0.86,0.84,22.9,381.0,12.16,1437.0,Fault
2024-10-15 10:30:00,PUMP_002,152.98,2.31,6.63,75.5,0.72,0.77,0.8,33.0,380.3,17.93,1429.0,Running
2024-10-15 10:30:00,PUMP_003,77.78,2.28,12.23,76.8,0.75,0.75,0.74,18.5,380.3,9.48,1472.0,Running
2024-10-15 10:30:00,PUMP_004,128.03,2.35,7.78,76.3,0.85,0.77,0.85,28.9,385.5,15.06,1466.0,Running
2024-10-15 10:30:00,PUMP_005,64.67,2.26,4.6,73.2,0.73,0.76,0.75,13.9,389.8,7.49,1442.0,Running
2024-10-15 11:00:00,PUMP_001,96.02,2.33,8.5,74.4,0.84,0.76,0.88,23.3,382.0,12.22,1459.0,Running
2024-10-15 11:00:00,PUMP_002,133.41,2.13,6.48,76.0,0.84,0.84,0.79,31.1,389.9,16.84,1427.0,Running
2024-10-15 11:00:00,PUMP_003,74.46,2.22,12.27,74.1,0.86,0.86,0.79,16.2,389.1,8.36,1436.0,Running
2024-10-15 11:00:00,PUMP_004,118.18,2.37,7.22,75.2,0.87,0.75,0.76,27.5,388.5,15.06,1450.0,Running
2024-10-15 11:00:00,PUMP_005,60.49,2.22,4.51,73.5,0.81,0.75,0.78,13.0,386.6,6.92,1441.0,Running
2024-10-15 11:30:00,PUMP_001,89.87,2.48,8.46,72.8,0.73,0.75,0.8,22.3,384.3,11.47,1437.0,Running
2024-10-15 11:30:00,PUMP_002,142.87,2.08,6.28,71.8,0.84,0.83,0.8,33.5,385.9,17.7,1468.0,Running
2024-10-15 11:30:00,PUMP_003,71.01,2.13,11.47,74.3,0.87,0.73,0.74,17.2,383.2,8.51,1450.0,Running
2024-10-15 11:30:00,PUMP_004,112.54,2.49,7.85,71.7,0.87,0.82,0.86,26.8,384.9,14.32,1458.0,Running
2024-10-15 11:30:00,PUMP_005,55.58,2.15,4.59,72.7,0.83,0.88,0.74,13.0,388.7,6.72,1434.0,Running
2024-10-15 12:00:00,PUMP_001,86.84,2.47,8.66,73.0,0.82,0.86,0.81,19.9,386.9,10.01,1459.0,Running
2024-10-15 12:00:00,PUMP_002,128.0,2.2,6.6,71.0,0.83,0.88,0.73,29.9,388.7,16.13,1464.0,Running
2024-10-15 12:00:00,PUMP_003,68.09,2.44,11.88,72.1,0.83,0.85,0.84,15.1,388.2,7.93,1431.0,Running
2024-10-15 12:00:00,PUMP_004,99.81,2.16,7.4,72.5,0.83,0.78,0.79,23.4,382.3,12.61,1429.0,Running
2024-10-15 12:00:00,PUMP_005,53.38,2.31,4.48,72.4,0.86,0.8,0.8,10.9,383.8,5.67,1445.0,Running
2024-10-15 12:30:00,PUMP_001,84.28,2.3,8.73,74.6,0.83,0.87,0.72,18.3,386.5,10.18,1470.0,Running
2024-10-15 12:30:00,PUMP_002,131.38,2.03,6.78,72.3,0.74,0.8,0.76,27.7,388.0,15.07,1452.0,Running
2024-10-15 12:30:00,PUMP_003,67.23,2.36,11.73,72.6,0.74,0.75,0.83,14.5,387.1,7.45,1430.0,Running
2024-10-15 12:30:00,PUMP_004,102.44,2.48,7.49,74.5,0.81,0.73,0.82,25.6,388.2,13.53,1469.0,Running
2024-10-15 12:30:00,PUMP_005,50.99,2.31,4.46,74.7,0.86,0.78,0.76,11.6,388.2,6.12,1446.0,Running
2024-10-15 13:00:00,PUMP_001,71.66,2.31,8.46,72.3,0.75,0.84,0.86,16.5,380.2,9.07,1457.0,Running
2024-10-15 13:00:00,PUMP_002,112.55,2.12,6.43,72.3,0.8,0.88,0.74,25.9,384.3,13.96,1461.0,Running
2024-10-15 13:00:00,PUMP_003,62.03,2.06,11.52,73.0,0.81,0.76,0.73,13.6,381.9,6.56,1441.0,Running
2024-10-15 13:00:00,PUMP_004,92.0,2.03,7.51,69.7,0.85,0.76,0.81,22.8,385.3,11.95,1441.0,Running
2024-10-15 13:00:00,PUMP_005,47.47,2.5,4.57,72.1,0.84,0.79,0.73,11.5,381.8,5.32,1460.0,Running
2024-10-15 13:30:00,PUMP_001,74.95,2.05,8.46,73.1,0.78,0.83,0.85,18.0,384.0,9.73,1433.0,Fault
2024-10-15 13:30:00,PUMP_002,112.47,2.42,6.51,72.5,0.73,0.84,0.74,27.0,387.1,14.14,1427.0,Running
2024-10-15 13:30:00,PUMP_003,57.72,2.18,11.51,74.0,0.81,0.77,0.78,13.5,385.2,6.81,1471.0,Running
2024-10-15 13:30:00,PUMP_004,97.95,2.43,7.28,74.0,0.74,0.85,0.78,23.2,388.1,11.95,1465.0,Running
2024-10-15 13:30:00,PUMP_005,44.72,2.2,4.35,72.8,0.78,0.88,0.82,10.1,388.6,5.46,1471.0,Running
2024-10-15 14:00:00,PUMP_001,66.7,2.38,8.22,70.8,0.78,0.74,0.78,14.3,381.4,7.89,1473.0,Running
2024-10-15 14:00:00,PUMP_002,103.61,2.22,6.38,70.8,0.79,0.74,0.82,22.4,386.5,11.76,1433.0,Running
2024-10-15 14:00:00,PUMP_003,53.72,2.23,11.47,73.2,0.73,0.83,0.88,10.9,381.2,5.89,1440.0,Running
2024-10-15 14:00:00,PUMP_004,84.09,2.03,7.51,73.2,0.85,0.82,0.77,19.6,384.3,10.3,1432.0,Running
2024-10-15 14:00:00,PUMP_005,41.04,2.1,4.44,70.3,0.85,0.84,0.84,8.8,384.8,4.45,1426.0,Running
2024-10-15 14:30:00,PUMP_001,67.72,2.07,8.53,69.3,0.72,0.76,0.88,17.2,384.9,8.5,1430.0,Running
2024-10-15 14:30:00,PUMP_002,98.55,2.42,6.24,70.7,0.74,0.77,0.84,22.5,383.9,12.07,1448.0,Running
2024-10-15 14:30:00,PUMP_003,54.3,2.48,12.34,69.8,0.83,0.79,0.76,11.3,389.0,6.26,1448.0,Running
2024-10-15 14:30:00,PUMP_004,83.81,2.45,7.6,71.3,0.73,0.8,0.74,19.8,386.8,10.42,1427.0,Running
2024-10-15 14:30:00,PUMP_005,42.14,2.04,4.31,68.3,0.87,0.84,0.78,8.9,387.7,4.58,1458.0,Running
2024-10-15 15:00:00,PUMP_001,56.64,2.05,8.64,71.1,0.76,0.72,0.73,14.4,387.7,7.66,1456.0,Running
2024-10-15 15:00:00,PUMP_002,85.23,2.06,6.57,71.2,0.82,0.8,0.73,21.8,382.9,11.24,1474.0,Running
2024-10-15 15:00:00,PUMP_003,46.73,2.37,12.37,70.6,0.74,0.77,0.87,10.1,384.3,5.22,1447.0,Running
2024-10-15 15:00:00,PUMP_004,76.42,2.12,7.22,68.3,0.86,0.82,0.77,18.5,388.5,9.31,1471.0,Running
2024-10-15 15:00:00,PUMP_005,37.52,2.23,4.65,71.0,0.84,0.82,0.75,9.5,389.4,4.17,1427.0,Running
2024-10-15 15:30:00,PUMP_001,56.39,2.36,8.77,68.4,0.8,0.85,0.84,14.4,385.1,7.35,1440.0,Running
2024-10-15 15:30:00,PUMP_002,89.47,2.44,6.59,71.1,0.75,0.79,0.72,20.3,389.9,10.46,1430.0,Running
2024-10-15 15:30:00,PUMP_003,47.74,2.1,12.07,71.0,0.82,0.75,0.78,11.0,380.1,5.52,1463.0,Running
2024-10-15 15:30:00,PUMP_004,74.98,2.1,7.84,69.2,0.77,0.74,0.77,18.9,383.7,9.37,1447.0,Running
2024-10-15 15:30:00,PUMP_005,38.0,2.3,4.45,69.4,0.83,0.72,0.82,8.9,380.9,4.09,1454.0,Running
2024-10-15 16:00:00,PUMP_001,53.57,2.03,8.57,69.4,0.81,0.82,0.83,12.8,388.3,6.8,1450.0,Running
2024-10-15 16:00:00,PUMP_002,75.74,2.17,6.69,70.1,0.85,0.8,0.79,17.5,384.3,9.34,1429.0,Running
2024-10-15 16:00:00,PUMP_003,42.23,2.37,12.6,71.3,0.82,0.79,0.82,9.2,384.1,4.98,1467.0,Running
2024-10-15 16:00:00,PUMP_004,66.5,2.29,7.26,68.4,0.77,0.72,0.72,15.7,385.2,8.41,1440.0,Running
2024-10-15 16:00:00,PUMP_005,32.22,2.21,4.67,70.8,0.75,0.85,0.79,7.0,380.8,3.74,1461.0,Running
2024-10-15 16:30:00,PUMP_001,52.49,2.36,8.73,67.4,0.82,0.74,0.84,14.0,380.7,6.71,1428.0,Running
2024-10-15 16:30:00,PUMP_002,77.35,2.12,6.76,67.9,0.76,0.84,0.79,18.0,384.9,9.95,1427.0,Running
2024-10-15 16:30:00,PUMP_003,43.52,2.07,12.04,68.7,0.78,0.86,0.72,10.8,385.6,4.92,1472.0,Running
2024-10-15 16:30:00,PUMP_004,65.49,2.13,7.67,71.5,0.76,0.82,0.75,15.7,389.7,8.2,1455.0,Running
2024-10-15 16:30:00,PUMP_005,31.74,2.08,4.38,67.9,0.86,0.81,0.8,8.2,387.2,3.6,1428.0,Running
2024-10-15 17:00:00,PUMP_001,49.44,2.04,8.46,68.6,0.75,0.87,0.86,12.2,384.1,6.26,1458.0,Running
2024-10-15 17:00:00,PUMP_002,70.61,2.26,6.7,68.4,0.73,0.85,0.75,16.2,383.3,8.81,1463.0,Running
2024-10-15 17:00:00,PUMP_003,37.82,2.44,12.46,70.5,0.76,0.79,0.88,8.4,380.7,4.64,1448.0,Running
2024-10-15 17:00:00,PUMP_004,61.77,2.25,7.2,69.4,0.85,0.78,0.84,14.7,385.2,7.94,1439.0,Running
2024-10-15 17:00:00,PUMP_005,31.01,2.32,4.63,68.1,0.87,0.81,0.75,8.0,383.2,3.56,1468.0,Running
2024-10-15 17:30:00,PUMP_001,48.13,2.49,8.19,67.2,0.75,0.86,0.82,11.6,386.2,5.94,1429.0,Running
2024-10-15 17:30:00,PUMP_002,76.08,2.25,6.8,68.2,0.88,0.83,0.82,17.5,384.3,8.72,1433.0,Running
2024-10-15 17:30:00,PUMP_003,39.2,2.26,12.26,70.6,0.73,0.84,0.75,10.1,385.4,4.67,1461.0,Running
2024-10-15 17:30:00,PUMP_004,61.36,2.41,7.47,67.9,0.8,0.85,0.77,14.6,388.3,7.34,1430.0,Running
2024-10-15 17:30:00,PUMP_005,29.67,2.17,4.48,69.9,0.82,0.82,0.78,7.4,389.8,3.61,1457.0,Running
2024-10-15 18:00:00,PUMP_001,48.85,2.16,8.66,66.3,0.75,0.86,0.76,11.7,386.4,6.2,1460.0,Running
2024-10-15 18:00:00,PUMP_002,70.6,2.11,6.2,67.5,0.82,0.87,0.86,17.8,386.6,9.03,1438.0,Running
2024-10-15 18:00:00,PUMP_003,38.65,2.28,11.53,68.2,0.79,0.86,0.81,9.8,381.1,4.35,1446.0,Running
2024-10-15 18:00:00,PUMP_004,61.44,2.46,7.34,70.3,0.77,0.87,0.84,13.8,389.6,7.63,1461.0,Running
2024-10-15 18:00:00,PUMP_005,30.99,2.14,4.67,66.6,0.83,0.81,0.74,6.0,384.7,3.31,1440.0,Running
2024-10-15 18:30:00,PUMP_001,47.03,2.15,8.71,66.2,0.86,0.86,0.83,12.7,381.9,6.06,1429.0,Running
2024-10-15 18:30:00,PUMP_002,74.12,2.02,6.55,71.0,0.86,0.8,0.73,17.6,381.1,9.09,1430.0,Running
2024-10-15 18:30:00,PUMP_003,38.64,2.41,12.45,68.9,0.8,0.79,0.77,9.4,386.0,4.37,1470.0,Running
2024-10-15 18:30:00,PUMP_004,60.64,2.32,7.57,69.5,0.76,0.8,0.74,14.1,386.5,7.31,1473.0,Running
2024-10-15 18:30:00,PUMP_005,30.73,2.25,4.56,66.4,0.76,0.78,0.8,6.1,382.8,3.25,1474.0,Running
2024-10-15 19:00:00,PUMP_001,49.14,2.1,8.59,67.6,0.75,0.8,0.72,11.0,380.4,5.85,1430.0,Running
2024-10-15 19:00:00,PUMP_002,76.07,2.29,6.51,67.6,0.87,0.78,0.73,16.7,383.5,9.13,1450.0,Running
2024-10-15 19:00:00,PUMP_003,38.95,2.35,12.59,66.8,0.76,0.78,0.79,9.9,387.1,4.47,1455.0,Running
2024-10-15 19:00:00,PUMP_004,63.53,2.48,7.74,66.2,0.82,0.73,0.76,14.3,386.9,7.25,1431.0,Running
2024-10-15 19:00:00,PUMP_005,30.63,2.18,4.33,68.2,0.84,0.73,0.73,8.1,386.7,3.44,1459.0,Running
2024-10-15 19:30:00,PUMP_001,49.69,2.01,8.62,70.7,0.82,0.86,0.84,12.5,380.7,5.92,1452.0,Running
2024-10-15 19:30:00,PUMP_002,70.23,2.21,6.37,68.6,0.81,0.73,0.74,17.0,387.3,9.08,1458.0,Running
2024-10-15 19:30:00,PUMP_003,39.72,2.21,12.21,67.5,0.77,0.85,0.79,10.0,388.6,4.65,1471.0,Running
2024-10-15 19:30:00,PUMP_004,60.42,2.29,7.4,69.2,0.83,0.83,0.78,14.1,381.4,7.34,1470.0,Running
2024-10-15 19:30:00,PUMP_005,29.7,2.01,4.57,69.3,0.77,0.73,0.79,7.5,386.1,3.42,1443.0,Running
2024-10-15 20:00:00,PUMP_001,55.4,2.23,8.66,67.3,0.8,0.72,0.8,13.2,380.4,6.91,1427.0,Running
2024-10-15 20:00:00,PUMP_002,76.54,2.01,6.67,68.9,0.77,0.86,0.74,18.9,388.9,10.13,1455.0,Running
